crime_type,category,date_reported,time_reported,zone,location_name,latitude,longitude,status,severity,weapon_involved,victim_age,victim_gender,day_of_week,hour_of_day,description
Vehicle Theft,Theft,2025-08-05,11:56:36,Zone 1,Hilltop Avenue,13.042094,80.285823,Pending,Medium,0,36,Female,Tuesday,11,Vehicle Theft reported near North Bus Depot.
Homicide,Violent Crime,2025-12-26,20:19:29,Zone 6,Central Market,13.053288,80.310998,Under Investigation,Low,1,20,Other,Friday,20,Homicide reported near North Bus Depot.
Drug Trafficking,Narcotics,2026-06-11,04:10:28,Zone 5,MG Road Junction,13.136099,80.303266,Pending,Medium,1,58,Other,Thursday,4,Drug Trafficking reported near Old Town Square.
Online Fraud,Cybercrime,2026-03-03,21:47:35,Zone 6,Harbor Front,13.027572,80.235781,Solved,Low,0,56,Female,Tuesday,21,Online Fraud reported near Hilltop Avenue.
Assault,Violent Crime,2026-05-29,16:17:02,Zone 4,Hilltop Avenue,13.003267,80.314079,Pending,High,0,61,Female,Friday,16,Assault reported near Hilltop Avenue.
Burglary,Theft,2025-10-10,17:37:35,Zone 1,MG Road Junction,13.026395,80.211091,Pending,Low,1,73,Female,Friday,17,Burglary reported near North Bus Depot.
Phishing,Cybercrime,2026-01-15,21:26:39,Zone 6,Riverside Park,13.122616,80.338822,Solved,Low,0,72,Female,Thursday,21,Phishing reported near MG Road Junction.
Hacking,Cybercrime,2025-08-08,06:50:44,Zone 2,Railway Station Rd,13.019995,80.330247,Solved,High,0,38,Female,Friday,6,Hacking reported near North Bus Depot.
Burglary,Theft,2025-12-23,08:04:49,Zone 2,MG Road Junction,13.04736,80.293337,Pending,Low,1,23,Female,Tuesday,8,Burglary reported near Riverside Park.
Phishing,Cybercrime,2026-05-21,10:46:50,Zone 5,Greenfield Sector 7,13.052888,80.287693,Solved,Medium,0,28,Female,Thursday,10,Phishing reported near MG Road Junction.
Online Fraud,Cybercrime,2026-01-10,01:42:58,Zone 6,Old Town Square,13.055532,80.240927,Pending,High,0,48,Female,Saturday,1,Online Fraud reported near Harbor Front.
Homicide,Violent Crime,2025-10-06,09:42:24,Zone 4,MG Road Junction,13.111071,80.335149,Pending,High,0,35,Female,Monday,9,Homicide reported near North Bus Depot.
Drug Trafficking,Narcotics,2025-11-19,05:13:32,Zone 4,Hilltop Avenue,13.07841,80.334889,Solved,Medium,0,58,Other,Wednesday,5,Drug Trafficking reported near Greenfield Sector 7.
Vandalism,Public Order,2025-08-05,10:12:09,Zone 3,Lakeview Colony,13.006608,80.229875,Solved,Medium,0,72,Other,Tuesday,10,Vandalism reported near Greenfield Sector 7.
Public Intoxication,Public Order,2025-12-24,07:44:00,Zone 2,University Gate,13.145526,80.32837,Solved,High,0,49,Female,Wednesday,7,Public Intoxication reported near MG Road Junction.
Drug Possession,Narcotics,2025-11-25,20:42:33,Zone 5,University Gate,13.160763,80.285972,Pending,Critical,1,73,Other,Tuesday,20,Drug Possession reported near Lakeview Colony.
Drug Possession,Narcotics,2025-11-14,03:15:53,Zone 5,Central Market,13.104726,80.31323,Solved,Medium,0,61,Female,Friday,3,Drug Possession reported near North Bus Depot.
Trespassing,Public Order,2026-06-05,07:24:44,Zone 3,MG Road Junction,13.027149,80.224932,Pending,Low,0,29,Female,Friday,7,Trespassing reported near Lakeview Colony.
Pickpocketing,Theft,2025-11-14,21:19:48,Zone 5,Greenfield Sector 7,13.065098,80.333363,Pending,High,0,73,Male,Friday,21,Pickpocketing reported near Railway Station Rd.
Pickpocketing,Theft,2026-07-01,10:43:51,Zone 2,MG Road Junction,13.067391,80.217107,Pending,Medium,0,74,Female,Wednesday,10,Pickpocketing reported near Greenfield Sector 7.
Pickpocketing,Theft,2026-05-07,07:16:24,Zone 5,Lakeview Colony,13.055076,80.263452,Solved,Low,1,32,Male,Thursday,7,Pickpocketing reported near Railway Station Rd.
Shoplifting,Theft,2026-03-23,03:41:02,Zone 1,Riverside Park,13.123377,80.342638,Solved,Low,0,46,Other,Monday,3,Shoplifting reported near Central Market.
Trespassing,Public Order,2026-03-06,08:38:47,Zone 5,Old Town Square,13.117637,80.315147,Pending,Low,0,52,Other,Friday,8,Trespassing reported near Lakeview Colony.
Assault,Violent Crime,2025-09-15,11:44:49,Zone 4,MG Road Junction,13.050953,80.300181,Pending,Critical,1,38,Other,Monday,11,Assault reported near Lakeview Colony.
Identity Theft,Cybercrime,2026-07-09,19:06:27,Zone 6,Lakeview Colony,13.156426,80.292394,Pending,High,0,27,Other,Thursday,19,Identity Theft reported near Hilltop Avenue.
Hacking,Cybercrime,2025-11-19,19:37:17,Zone 6,Railway Station Rd,13.054269,80.229979,Solved,High,0,31,Female,Wednesday,19,Hacking reported near Greenfield Sector 7.
Phishing,Cybercrime,2025-11-04,04:13:22,Zone 5,Old Town Square,13.130353,80.245154,Pending,High,0,51,Male,Tuesday,4,Phishing reported near Hilltop Avenue.
Pickpocketing,Theft,2025-11-07,16:44:30,Zone 2,University Gate,13.106044,80.269231,Solved,Medium,0,31,Female,Friday,16,Pickpocketing reported near Harbor Front.
Drug Trafficking,Narcotics,2025-12-10,04:44:29,Zone 5,Hilltop Avenue,13.046047,80.230925,Solved,Low,0,64,Other,Wednesday,4,Drug Trafficking reported near Riverside Park.
Pickpocketing,Theft,2026-02-24,23:33:38,Zone 2,MG Road Junction,13.04798,80.206784,Solved,Low,0,61,Other,Tuesday,23,Pickpocketing reported near Riverside Park.
Vandalism,Public Order,2025-10-06,19:08:40,Zone 3,Railway Station Rd,13.141654,80.269241,Pending,High,0,37,Male,Monday,19,Vandalism reported near MG Road Junction.
Vandalism,Public Order,2026-06-12,16:36:40,Zone 3,North Bus Depot,13.112532,80.214976,Solved,High,1,23,Other,Friday,16,Vandalism reported near Lakeview Colony.
Drug Possession,Narcotics,2025-10-21,06:28:19,Zone 5,University Gate,13.140327,80.349105,Pending,Low,0,22,Male,Tuesday,6,Drug Possession reported near Harbor Front.
Vehicle Theft,Theft,2026-04-27,07:04:10,Zone 2,University Gate,13.003128,80.262781,Solved,Medium,0,34,Other,Monday,7,Vehicle Theft reported near Railway Station Rd.
Online Fraud,Cybercrime,2025-12-11,13:41:09,Zone 1,Old Town Square,13.148046,80.322961,Solved,Low,0,54,Other,Thursday,13,Online Fraud reported near Greenfield Sector 7.
Public Intoxication,Public Order,2025-07-28,19:17:32,Zone 3,Greenfield Sector 7,13.089097,80.260741,Pending,Medium,1,32,Male,Monday,19,Public Intoxication reported near Central Market.
Drug Possession,Narcotics,2025-08-06,13:48:48,Zone 2,Lakeview Colony,13.030731,80.273734,Under Investigation,Low,0,56,Female,Wednesday,13,Drug Possession reported near Central Market.
Homicide,Violent Crime,2026-02-02,22:21:26,Zone 4,Railway Station Rd,13.113688,80.236815,Pending,Critical,1,21,Female,Monday,22,Homicide reported near Old Town Square.
Public Intoxication,Public Order,2025-10-26,19:34:29,Zone 3,MG Road Junction,13.06882,80.220713,Pending,Low,0,29,Female,Sunday,19,Public Intoxication reported near Hilltop Avenue.
Trespassing,Public Order,2025-11-10,01:40:38,Zone 2,North Bus Depot,13.13059,80.304265,Solved,Low,0,69,Male,Monday,1,Trespassing reported near Railway Station Rd.
Domestic Violence,Violent Crime,2026-02-16,20:26:53,Zone 1,Greenfield Sector 7,13.0799,80.266255,Solved,High,0,48,Other,Monday,20,Domestic Violence reported near Riverside Park.
Pickpocketing,Theft,2026-01-22,08:00:18,Zone 1,Railway Station Rd,13.118868,80.324696,Under Investigation,Medium,0,50,Female,Thursday,8,Pickpocketing reported near Industrial Estate.
Drug Trafficking,Narcotics,2025-11-24,21:44:15,Zone 3,University Gate,13.094188,80.22807,Pending,Medium,0,74,Female,Monday,21,Drug Trafficking reported near Lakeview Colony.
Domestic Violence,Violent Crime,2026-06-28,18:37:21,Zone 6,University Gate,13.141852,80.33057,Pending,High,1,25,Female,Sunday,18,Domestic Violence reported near Harbor Front.
Shoplifting,Theft,2026-01-23,15:41:05,Zone 2,University Gate,13.138982,80.327075,Solved,High,0,72,Female,Friday,15,Shoplifting reported near Hilltop Avenue.
Homicide,Violent Crime,2026-03-22,16:06:48,Zone 1,MG Road Junction,13.1041,80.330313,Under Investigation,High,1,36,Male,Sunday,16,Homicide reported near Old Town Square.
Vandalism,Public Order,2026-03-12,14:43:50,Zone 3,Railway Station Rd,13.031509,80.218711,Pending,Medium,0,74,Other,Thursday,14,Vandalism reported near Riverside Park.
Shoplifting,Theft,2025-11-23,15:57:51,Zone 2,Greenfield Sector 7,13.077141,80.236721,Under Investigation,Medium,0,35,Other,Sunday,15,Shoplifting reported near Lakeview Colony.
Identity Theft,Cybercrime,2026-04-05,20:06:15,Zone 6,MG Road Junction,13.063718,80.248133,Pending,Low,0,69,Other,Sunday,20,Identity Theft reported near Lakeview Colony.
Trespassing,Public Order,2026-06-20,20:53:57,Zone 3,North Bus Depot,13.14717,80.314819,Solved,Low,0,55,Female,Saturday,20,Trespassing reported near Harbor Front.
Assault,Violent Crime,2025-08-28,02:50:28,Zone 6,Lakeview Colony,13.008038,80.249078,Solved,Medium,1,27,Male,Thursday,2,Assault reported near Riverside Park.
Identity Theft,Cybercrime,2026-04-23,21:30:51,Zone 5,Central Market,13.049923,80.329964,Pending,High,0,25,Male,Thursday,21,Identity Theft reported near Harbor Front.
Trespassing,Public Order,2026-01-10,21:00:16,Zone 6,Harbor Front,13.088552,80.263466,Pending,Medium,0,39,Male,Saturday,21,Trespassing reported near Harbor Front.
Shoplifting,Theft,2025-09-07,15:40:52,Zone 2,MG Road Junction,13.076983,80.302872,Solved,Medium,0,35,Female,Sunday,15,Shoplifting reported near Central Market.
Burglary,Theft,2025-12-29,10:47:44,Zone 1,Central Market,13.154056,80.25776,Solved,Medium,0,69,Female,Monday,10,Burglary reported near Greenfield Sector 7.
Phishing,Cybercrime,2025-07-27,05:28:15,Zone 4,Harbor Front,13.139572,80.206597,Pending,Medium,0,38,Male,Sunday,5,Phishing reported near Lakeview Colony.
Vandalism,Public Order,2025-11-26,19:41:40,Zone 3,Greenfield Sector 7,13.098243,80.194117,Solved,Medium,0,29,Male,Wednesday,19,Vandalism reported near Hilltop Avenue.
Homicide,Violent Crime,2026-05-01,00:54:09,Zone 2,Riverside Park,13.160704,80.277134,Under Investigation,Critical,0,16,Female,Friday,0,Homicide reported near North Bus Depot.
Drug Possession,Narcotics,2026-03-03,01:26:33,Zone 5,Railway Station Rd,13.020884,80.200869,Pending,Low,0,48,Male,Tuesday,1,Drug Possession reported near Greenfield Sector 7.
Drug Trafficking,Narcotics,2025-11-23,23:03:30,Zone 1,Central Market,13.138268,80.258904,Solved,Low,0,36,Other,Sunday,23,Drug Trafficking reported near Riverside Park.
Shoplifting,Theft,2026-01-01,13:29:32,Zone 1,Hilltop Avenue,13.099568,80.206569,Pending,Medium,1,62,Male,Thursday,13,Shoplifting reported near Lakeview Colony.
Public Intoxication,Public Order,2025-11-25,14:06:20,Zone 4,Central Market,13.070982,80.297117,Under Investigation,Low,0,21,Male,Tuesday,14,Public Intoxication reported near Central Market.
Homicide,Violent Crime,2026-05-10,03:35:35,Zone 4,University Gate,13.055443,80.210257,Pending,High,1,19,Female,Sunday,3,Homicide reported near Greenfield Sector 7.
Trespassing,Public Order,2025-10-30,07:30:14,Zone 3,North Bus Depot,13.138264,80.246718,Solved,Medium,0,67,Female,Thursday,7,Trespassing reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-09-07,21:17:01,Zone 5,Riverside Park,13.031567,80.303132,Solved,Low,0,52,Other,Sunday,21,Drug Possession reported near Lakeview Colony.
Vehicle Theft,Theft,2026-05-30,07:26:29,Zone 1,Central Market,13.057243,80.249908,Pending,Medium,0,72,Male,Saturday,7,Vehicle Theft reported near Riverside Park.
Vehicle Theft,Theft,2026-02-26,15:31:38,Zone 2,Old Town Square,13.073427,80.234407,Solved,Medium,0,59,Other,Thursday,15,Vehicle Theft reported near Greenfield Sector 7.
Homicide,Violent Crime,2026-06-23,15:38:03,Zone 4,Industrial Estate,13.00393,80.238927,Solved,Medium,0,23,Male,Tuesday,15,Homicide reported near Railway Station Rd.
Online Fraud,Cybercrime,2026-01-02,16:32:35,Zone 6,MG Road Junction,13.136037,80.319692,Under Investigation,Low,0,43,Male,Friday,16,Online Fraud reported near Railway Station Rd.
Drug Trafficking,Narcotics,2025-09-25,19:26:18,Zone 1,University Gate,13.021128,80.194037,Pending,Low,0,74,Female,Thursday,19,Drug Trafficking reported near Central Market.
Domestic Violence,Violent Crime,2025-09-17,18:25:55,Zone 4,Central Market,13.052344,80.245022,Pending,Medium,0,49,Other,Wednesday,18,Domestic Violence reported near North Bus Depot.
Trespassing,Public Order,2026-05-02,06:16:12,Zone 3,Harbor Front,13.03046,80.215159,Under Investigation,Medium,0,47,Female,Saturday,6,Trespassing reported near Greenfield Sector 7.
Drug Trafficking,Narcotics,2025-08-28,02:04:30,Zone 5,Old Town Square,13.073453,80.239151,Pending,Low,0,45,Female,Thursday,2,Drug Trafficking reported near MG Road Junction.
Shoplifting,Theft,2026-06-06,18:54:05,Zone 1,MG Road Junction,13.101101,80.271831,Pending,Medium,0,44,Other,Saturday,18,Shoplifting reported near Harbor Front.
Pickpocketing,Theft,2025-11-02,22:28:06,Zone 2,MG Road Junction,13.132455,80.32468,Pending,Critical,0,31,Other,Sunday,22,Pickpocketing reported near Railway Station Rd.
Robbery,Violent Crime,2026-01-10,23:24:26,Zone 4,Industrial Estate,13.126614,80.299324,Solved,Low,1,22,Other,Saturday,23,Robbery reported near Harbor Front.
Robbery,Violent Crime,2026-01-27,18:09:58,Zone 4,Central Market,13.058671,80.345531,Pending,High,1,35,Other,Tuesday,18,Robbery reported near Lakeview Colony.
Assault,Violent Crime,2025-08-19,18:01:23,Zone 6,Riverside Park,13.052119,80.342887,Solved,Medium,1,25,Male,Tuesday,18,Assault reported near Old Town Square.
Vehicle Theft,Theft,2025-08-11,19:39:08,Zone 1,Riverside Park,13.098259,80.21538,Pending,Low,0,62,Female,Monday,19,Vehicle Theft reported near MG Road Junction.
Robbery,Violent Crime,2025-11-30,12:47:50,Zone 4,North Bus Depot,13.074528,80.276142,Pending,Medium,1,39,Other,Sunday,12,Robbery reported near Greenfield Sector 7.
Homicide,Violent Crime,2026-01-01,18:10:52,Zone 4,Industrial Estate,13.034652,80.287446,Pending,Critical,0,51,Male,Thursday,18,Homicide reported near University Gate.
Phishing,Cybercrime,2026-04-25,10:32:09,Zone 5,Industrial Estate,13.135667,80.205374,Under Investigation,High,0,75,Male,Saturday,10,Phishing reported near Lakeview Colony.
Shoplifting,Theft,2026-03-17,23:23:14,Zone 1,Riverside Park,13.00721,80.339632,Pending,High,0,18,Female,Tuesday,23,Shoplifting reported near Railway Station Rd.
Public Intoxication,Public Order,2025-09-04,22:01:16,Zone 6,Old Town Square,13.037205,80.214623,Solved,High,0,31,Female,Thursday,22,Public Intoxication reported near Central Market.
Pickpocketing,Theft,2026-06-14,17:31:38,Zone 1,MG Road Junction,13.088469,80.291813,Solved,Medium,0,55,Female,Sunday,17,Pickpocketing reported near North Bus Depot.
Drug Possession,Narcotics,2025-10-20,00:33:34,Zone 5,Harbor Front,13.083872,80.348833,Pending,Medium,0,40,Female,Monday,0,Drug Possession reported near Old Town Square.
Phishing,Cybercrime,2026-01-21,17:40:06,Zone 6,Hilltop Avenue,13.12614,80.30833,Solved,Low,0,37,Other,Wednesday,17,Phishing reported near Riverside Park.
Hacking,Cybercrime,2025-08-27,19:04:45,Zone 6,North Bus Depot,13.12689,80.263929,Solved,Low,0,72,Male,Wednesday,19,Hacking reported near Industrial Estate.
Trespassing,Public Order,2025-11-16,02:41:12,Zone 3,Industrial Estate,13.048478,80.328642,Solved,Low,0,43,Female,Sunday,2,Trespassing reported near University Gate.
Public Intoxication,Public Order,2026-04-11,19:23:59,Zone 4,Riverside Park,13.130267,80.233375,Solved,Low,0,50,Female,Saturday,19,Public Intoxication reported near Industrial Estate.
Shoplifting,Theft,2026-02-09,14:27:10,Zone 1,Lakeview Colony,13.113062,80.246948,Solved,Low,1,33,Other,Monday,14,Shoplifting reported near MG Road Junction.
Public Intoxication,Public Order,2025-10-27,23:09:54,Zone 1,Industrial Estate,13.099912,80.31571,Pending,Low,0,39,Female,Monday,23,Public Intoxication reported near Greenfield Sector 7.
Public Intoxication,Public Order,2026-01-06,20:36:08,Zone 1,University Gate,13.087414,80.254385,Solved,Medium,0,27,Female,Tuesday,20,Public Intoxication reported near Hilltop Avenue.
Shoplifting,Theft,2026-03-04,07:39:18,Zone 4,Riverside Park,13.113737,80.350481,Solved,Low,0,73,Other,Wednesday,7,Shoplifting reported near Railway Station Rd.
Identity Theft,Cybercrime,2025-07-18,13:18:57,Zone 1,Riverside Park,13.050693,80.215901,Pending,Medium,0,66,Female,Friday,13,Identity Theft reported near Hilltop Avenue.
Burglary,Theft,2026-05-06,17:01:23,Zone 2,Central Market,13.091343,80.249726,Pending,High,0,20,Female,Wednesday,17,Burglary reported near Lakeview Colony.
Drug Trafficking,Narcotics,2025-12-18,00:20:41,Zone 6,Hilltop Avenue,13.014566,80.265233,Under Investigation,Medium,0,56,Other,Thursday,0,Drug Trafficking reported near Riverside Park.
Vehicle Theft,Theft,2026-05-13,06:10:10,Zone 2,Central Market,13.054326,80.304193,Under Investigation,Low,1,32,Male,Wednesday,6,Vehicle Theft reported near Harbor Front.
Drug Trafficking,Narcotics,2025-09-04,01:41:10,Zone 5,Industrial Estate,13.097389,80.283603,Under Investigation,Low,0,69,Other,Thursday,1,Drug Trafficking reported near MG Road Junction.
Shoplifting,Theft,2025-08-17,16:26:39,Zone 1,Railway Station Rd,13.104939,80.270386,Under Investigation,Medium,0,31,Other,Sunday,16,Shoplifting reported near Lakeview Colony.
Trespassing,Public Order,2026-06-16,15:30:29,Zone 3,Industrial Estate,13.035344,80.287766,Pending,Low,0,41,Male,Tuesday,15,Trespassing reported near Industrial Estate.
Online Fraud,Cybercrime,2025-11-20,06:15:09,Zone 5,North Bus Depot,13.01819,80.237134,Pending,Low,0,71,Male,Thursday,6,Online Fraud reported near Industrial Estate.
Robbery,Violent Crime,2025-11-02,17:56:19,Zone 5,Greenfield Sector 7,13.082279,80.205108,Solved,High,1,38,Male,Sunday,17,Robbery reported near MG Road Junction.
Trespassing,Public Order,2025-08-05,12:00:54,Zone 3,MG Road Junction,13.0199,80.21213,Solved,Low,0,41,Male,Tuesday,12,Trespassing reported near Greenfield Sector 7.
Drug Trafficking,Narcotics,2026-06-08,09:48:35,Zone 5,Lakeview Colony,13.047455,80.348955,Under Investigation,Medium,0,39,Female,Monday,9,Drug Trafficking reported near Hilltop Avenue.
Domestic Violence,Violent Crime,2025-11-02,02:08:45,Zone 3,Industrial Estate,13.055987,80.266499,Pending,High,1,75,Other,Sunday,2,Domestic Violence reported near Industrial Estate.
Shoplifting,Theft,2025-09-15,13:32:34,Zone 2,Central Market,13.081075,80.280768,Solved,Medium,0,42,Other,Monday,13,Shoplifting reported near Old Town Square.
Pickpocketing,Theft,2026-03-02,17:49:37,Zone 6,Greenfield Sector 7,13.095122,80.306124,Pending,Medium,0,65,Female,Monday,17,Pickpocketing reported near Riverside Park.
Phishing,Cybercrime,2026-04-10,10:26:09,Zone 6,Railway Station Rd,13.068774,80.223323,Pending,Medium,0,71,Other,Friday,10,Phishing reported near University Gate.
Drug Possession,Narcotics,2025-10-01,23:30:33,Zone 1,Harbor Front,13.062992,80.34377,Pending,Medium,0,65,Other,Wednesday,23,Drug Possession reported near Harbor Front.
Hacking,Cybercrime,2026-04-09,06:19:14,Zone 6,University Gate,13.153338,80.347862,Pending,High,0,61,Female,Thursday,6,Hacking reported near Industrial Estate.
Homicide,Violent Crime,2026-02-19,18:34:24,Zone 4,MG Road Junction,13.146022,80.253825,Solved,Medium,1,34,Other,Thursday,18,Homicide reported near Central Market.
Hacking,Cybercrime,2026-03-29,19:17:59,Zone 3,North Bus Depot,13.092623,80.234159,Pending,Low,0,31,Male,Sunday,19,Hacking reported near Harbor Front.
Drug Possession,Narcotics,2026-06-20,05:45:30,Zone 5,Lakeview Colony,13.018787,80.314023,Under Investigation,Low,0,57,Female,Saturday,5,Drug Possession reported near Railway Station Rd.
Identity Theft,Cybercrime,2026-02-02,15:58:49,Zone 6,MG Road Junction,13.017014,80.282561,Pending,Medium,0,74,Male,Monday,15,Identity Theft reported near Lakeview Colony.
Pickpocketing,Theft,2025-11-05,21:55:59,Zone 2,Industrial Estate,13.049015,80.196695,Under Investigation,Low,0,34,Female,Wednesday,21,Pickpocketing reported near Harbor Front.
Drug Possession,Narcotics,2025-10-30,03:51:07,Zone 5,Industrial Estate,13.055609,80.307679,Solved,Medium,0,66,Female,Thursday,3,Drug Possession reported near Greenfield Sector 7.
Domestic Violence,Violent Crime,2025-12-09,13:25:42,Zone 6,Lakeview Colony,13.017962,80.34777,Solved,High,1,31,Female,Tuesday,13,Domestic Violence reported near Old Town Square.
Trespassing,Public Order,2025-09-26,11:23:44,Zone 3,University Gate,13.040508,80.297546,Pending,Medium,0,65,Female,Friday,11,Trespassing reported near University Gate.
Identity Theft,Cybercrime,2025-09-05,05:08:30,Zone 1,Hilltop Avenue,13.02721,80.310338,Solved,Medium,0,74,Female,Friday,5,Identity Theft reported near Hilltop Avenue.
Assault,Violent Crime,2025-10-19,18:23:04,Zone 6,Hilltop Avenue,13.149459,80.208653,Solved,Critical,1,25,Male,Sunday,18,Assault reported near Industrial Estate.
Drug Possession,Narcotics,2025-09-20,01:32:28,Zone 5,Railway Station Rd,13.132091,80.263249,Solved,Medium,0,59,Female,Saturday,1,Drug Possession reported near University Gate.
Vehicle Theft,Theft,2026-03-26,03:27:22,Zone 1,Railway Station Rd,13.114762,80.277286,Under Investigation,Low,1,18,Female,Thursday,3,Vehicle Theft reported near Lakeview Colony.
Public Intoxication,Public Order,2026-01-01,22:58:24,Zone 2,Industrial Estate,13.062803,80.299937,Pending,Medium,0,23,Male,Thursday,22,Public Intoxication reported near Hilltop Avenue.
Robbery,Violent Crime,2026-07-15,23:29:43,Zone 4,Riverside Park,13.117755,80.25856,Pending,High,0,33,Male,Wednesday,23,Robbery reported near University Gate.
Pickpocketing,Theft,2025-09-05,08:04:06,Zone 1,MG Road Junction,13.097731,80.262131,Solved,Medium,1,41,Female,Friday,8,Pickpocketing reported near North Bus Depot.
Drug Possession,Narcotics,2026-05-05,23:14:52,Zone 5,North Bus Depot,13.149324,80.282878,Under Investigation,Medium,0,35,Male,Tuesday,23,Drug Possession reported near Harbor Front.
Drug Trafficking,Narcotics,2026-02-26,12:37:56,Zone 5,Industrial Estate,13.120334,80.218721,Solved,Medium,0,57,Other,Thursday,12,Drug Trafficking reported near Lakeview Colony.
Drug Trafficking,Narcotics,2025-12-19,03:11:48,Zone 5,Railway Station Rd,13.088769,80.229255,Solved,Low,1,74,Male,Friday,3,Drug Trafficking reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-12-30,03:21:41,Zone 4,MG Road Junction,13.015351,80.262666,Under Investigation,Low,0,33,Female,Tuesday,3,Drug Possession reported near Harbor Front.
Burglary,Theft,2025-09-18,07:13:55,Zone 5,University Gate,13.147825,80.23921,Solved,High,0,23,Other,Thursday,7,Burglary reported near Railway Station Rd.
Domestic Violence,Violent Crime,2026-03-15,13:18:24,Zone 2,Railway Station Rd,13.0773,80.294495,Under Investigation,Medium,1,22,Other,Sunday,13,Domestic Violence reported near Railway Station Rd.
Identity Theft,Cybercrime,2025-12-17,13:14:47,Zone 3,Lakeview Colony,13.026048,80.232424,Pending,High,0,34,Male,Wednesday,13,Identity Theft reported near North Bus Depot.
Trespassing,Public Order,2026-03-12,17:43:21,Zone 3,Riverside Park,13.043872,80.322155,Pending,Critical,0,62,Female,Thursday,17,Trespassing reported near Riverside Park.
Vandalism,Public Order,2025-10-11,23:33:02,Zone 2,Riverside Park,13.136951,80.202593,Solved,High,0,69,Other,Saturday,23,Vandalism reported near North Bus Depot.
Burglary,Theft,2025-10-30,10:39:40,Zone 1,Hilltop Avenue,13.109381,80.289343,Solved,Medium,0,42,Male,Thursday,10,Burglary reported near MG Road Junction.
Drug Trafficking,Narcotics,2026-07-07,20:43:27,Zone 5,North Bus Depot,13.131687,80.336264,Solved,Low,0,55,Other,Tuesday,20,Drug Trafficking reported near Old Town Square.
Public Intoxication,Public Order,2026-06-05,23:29:36,Zone 3,Harbor Front,13.041613,80.302258,Solved,Low,0,64,Male,Friday,23,Public Intoxication reported near Central Market.
Domestic Violence,Violent Crime,2026-06-17,00:10:05,Zone 4,Central Market,13.082677,80.260126,Under Investigation,Critical,1,73,Other,Wednesday,0,Domestic Violence reported near MG Road Junction.
Pickpocketing,Theft,2026-02-28,21:43:59,Zone 2,MG Road Junction,13.04756,80.277585,Under Investigation,Medium,0,29,Other,Saturday,21,Pickpocketing reported near Riverside Park.
